"","site_code","year_min","year_max","X","unique.id","trt_year","trt_year.x","trt.xy","trt.x","trt_year.y","trt.y","year.xy","year.y","block","plot","plot.x","plot.y","site.year.id","site.year.id.x","site.year.id.y","year.x","SRE.L","SRE.G","SIE.L","SIE.G","CDE","SL","SG","SR","CE","x.func","y.func","x.rich","y.rich","c.rich","s.loss","s.gain","s.loss.n","year.y.m"
"1","ahth.is","0",3,6,"ahth.is_0 ahth.is_1_Control_0 Control_1_1 1_1 1","Control_0 Control_1","Control_0","Control_Control","Control","Control_1","Control","0_1",1,"1 1","1 1","1","1","ahth.is_0 ahth.is_1","ahth.is_0","ahth.is_1","0",-1.688125,0,0.997805555555557,0,-1.52048611111111,-0.690319444444445,0,-1.688125,-0.522680555555557,2.701,0.490194444444445,8,3,3,5,0,-5,-3.78587625526401
"2","ahth.is","0",3,18,"ahth.is_0 ahth.is_1_NPK_0 NPK_1_1 1_3 3","NPK_0 NPK_1","NPK_0","NPK_NPK","NPK","NPK_1","NPK","0_1",1,"1 1","3 3","3","3","ahth.is_0 ahth.is_1","ahth.is_0","ahth.is_1","0",-21.6559375,4.6394,16.8151570350581,4.79585,-27.6454695350581,-4.84078046494189,9.43525,-17.0165375,-6.03446249999999,34.6495,11.5985,8,5,3,5,2,-5,-3.78587625526401
"3","ahth.is","0",3,30,"ahth.is_0 ahth.is_1_Control_0 Control_1_2 2_11 11","Control_0 Control_1","Control_0","Control_Control","Control","Control_1","Control","0_1",1,"2 2","11 11","11","11","ahth.is_0 ahth.is_1","ahth.is_0","ahth.is_1","0",-11.1765,1.1926875,8.69630571428572,-0.412520833333334,-26.0134723809524,-2.48019428571428,0.780166666666666,-9.98381250000001,-17.7296875,37.255,9.5415,10,8,7,3,1,-3,-3.78587625526401
"4","ahth.is","0",3,42,"ahth.is_0 ahth.is_1_NPK_0 NPK_1_2 2_13 13","NPK_0 NPK_1","NPK_0","NPK_NPK","NPK","NPK_1","NPK","0_1",1,"2 2","13 13","13","13","ahth.is_0 ahth.is_1","ahth.is_0","ahth.is_1","0",-8.00764285714286,16.2564,-4.34340476190476,-5.22376514314417,9.72791276219181,-12.3510476190476,11.0326348568559,8.24875714285717,0.160742857142873,18.6845,27.0940000000001,7,10,4,3,6,-3,-3.78587625526401
"5","ahth.is","0",3,54,"ahth.is_0 ahth.is_1_Control_0 Control_1_3 3_21 21","Control_0 Control_1","Control_0","Control_Control","Control","Control_1","Control","0_1",1,"3 3","21 21","21","21","ahth.is_0 ahth.is_1","ahth.is_0","ahth.is_1","0",-0.500666666666666,0,0.315666666666666,0,6.5585,-0.185,0,-0.500666666666666,6.87416666666667,1.1265,7.5,9,5,5,4,0,-4,-3.78587625526401
"6","ahth.is","0",3,66,"ahth.is_0 ahth.is_1_NPK_0 NPK_1_3 3_23 23","NPK_0 NPK_1","NPK_0","NPK_NPK","NPK","NPK_1","NPK","0_1",1,"3 3","23 23","23","23","ahth.is_0 ahth.is_1","ahth.is_0","ahth.is_1","0",-23.884,4.233,5.9372588028169,-3.15167236467236,-25.5855864381446,-17.9467411971831,1.08132763532764,-19.651,-22.8,53.739,11.288,9,8,5,4,3,-4,-3.78587625526401
"7","ahth.is","0",3,138,"ahth.is_0 ahth.is_2_Control_0 Control_2_1 1_1 1","Control_0 Control_2","Control_0","Control_Control","Control","Control_2","Control","0_2",2,"1 1","1 1","1","1","ahth.is_0 ahth.is_2","ahth.is_0","ahth.is_2","0",-0.675250000000001,2.47066666666667,0.618611111111112,-2.02568723098996,4.32265945321218,-0.0566388888888888,0.44497943567671,1.79541666666667,2.91558333333333,2.701,7.412,8,9,6,2,3,-2,-2.78587625526401
"8","ahth.is","0",3,150,"ahth.is_0 ahth.is_2_NPK_0 NPK_2_1 1_3 3","NPK_0 NPK_2","NPK_0","NPK_NPK","NPK","NPK_2","NPK","0_2",2,"1 1","3 3","3","3","ahth.is_0 ahth.is_2","ahth.is_0","ahth.is_2","0",-21.6559375,3.69657142857143,13.0851562851518,0.75197023809524,-24.0582604518185,-8.57078121484815,4.44854166666667,-17.9593660714286,-10.2211339285714,34.6495,6.469,8,7,3,5,4,-5,-2.78587625526401
"9","ahth.is","0",3,162,"ahth.is_0 ahth.is_2_Control_0 Control_2_2 2_11 11","Control_0 Control_2","Control_0","Control_Control","Control","Control_2","Control","0_2",2,"2 2","11 11","11","11","ahth.is_0 ahth.is_2","ahth.is_0","ahth.is_2","0",-7.451,2.52927272727273,6.70156714285715,-2.14827272727273,-27.6125671428572,-0.749432857142858,0.381,-4.92172727272728,-23.0592727272727,37.255,9.274,10,11,8,2,3,-2,-2.78587625526401
"10","ahth.is","0",3,174,"ahth.is_0 ahth.is_2_NPK_0 NPK_2_2 2_13 13","NPK_0 NPK_2","NPK_0","NPK_NPK","NPK","NPK_2","NPK","0_2",2,"2 2","13 13","13","13","ahth.is_0 ahth.is_2","ahth.is_0","ahth.is_2","0",-8.00764285714286,24.5986363636363,-0.0930476190476174,-11.4952337233724,14.9677878359264,-8.10069047619048,13.103402640264,16.5909935064935,3.37950649350648,18.6845,38.655,7,11,4,3,7,-3,-2.78587625526401
